Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3205002037,Camará - Serra,163,15,160,3,125,33,153,162,3.29,536,536,451,429,95.12,504,469,1591.25,1310,900.6,700,20,1,4,262,274,85,96,85,107,78,41,26,18
3205002038,Morada de Laranjeiras - Serra,1942,245,687,1172,1393,507,1915,1939,2.8,5460,5427,4522,4465,98.74,4955,4812,3709.49,3000,2153.95,1500,54,182,23,2642,2818,938,675,984,1435,808,391,141,88
3205002039,Nova Zelândia - Serra,276,37,244,29,199,47,197,270,3.31,916,913,787,703,89.33,847,738,1468.63,1211,802.89,610,41,-,3,465,451,129,201,185,138,115,97,26,25
3205002040,Guaraciaba - Serra,728,107,370,355,499,192,652,728,2.92,2128,2121,1773,1731,97.63,1952,1859,2350.34,1900,1398.84,1000,46,11,11,1018,1110,355,301,460,449,276,171,75,41
3205002041,Civit II - Serra,34,2,34,-,30,1,32,32,3.65,124,124,106,103,97.17,119,113,3525.79,2800,2103.11,1500,2,4,1,47,77,18,19,21,16,18,19,8,5
3205002042,Jardim Limoeiro - Serra,2361,419,1021,1254,1831,443,1982,2328,2.76,6594,6508,5704,5476,96,6125,5766,2218.58,2000,1302.14,1000,134,32,69,3344,3250,890,886,1586,1419,878,507,235,193
3205002043,Bicanga - Serra,516,67,514,1,328,137,258,513,3.03,1571,1563,1361,1315,96.62,1471,1389,2592.3,1705,1527.12,990,44,29,12,796,775,210,241,280,259,222,202,101,56
3205002044,Balneário de Carapebus - Serra,1324,163,1312,10,833,255,106,1308,3.35,4441,4421,3651,3448,94.44,4056,3728,1551.13,1200,974.4,637.5,190,22,88,2229,2212,790,949,809,751,565,332,147,98
3205002045,Alterozas - Serra,511,58,504,5,344,136,382,508,3.21,1641,1641,1395,1355,97.13,1520,1455,1996.52,1710,1145.03,800,40,4,10,831,810,246,323,313,291,263,129,58,18
3205002046,Cidade Continental - Serra,3134,266,3095,37,2426,600,3111,3133,3.3,10356,10328,8900,8733,98.12,9659,9335,2230.91,1900,1202.29,900,171,41,65,5015,5341,1456,1886,1890,1713,1749,1011,382,269
